City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
562,vicente guerrero,19.1194,-98.1708,18.66,29,0,1.76,MX,1675790001
563,turkistan,43.0,68.0,3.52,64,100,6.53,KZ,1675790002
564,coos bay,43.3665,-124.2179,10.08,87,100,4.63,US,1675790002
565,tucurui,-3.7661,-49.6725,24.83,90,100,1.06,BR,1675789440
566,colares,38.7992,-9.4469,15.18,55,20,8.05,PT,1675789485
567,northam,51.0333,-4.2167,6.81,70,10,1.51,GB,1675790003
568,yara,20.2753,-76.9533,32.13,40,6,7.52,CU,1675790003
569,turochak,52.2576,87.1224,-9.15,99,100,0.16,RU,1675790004
570,chumikan,54.7183,135.315,-30.65,87,27,3.68,RU,1675789797
571,pemberton,50.3164,-122.8027,5.39,98,100,2.44,CA,1675790004
572,jijiga,9.35,42.8,19.58,55,66,5.75,ET,1675790005
573,black river,18.0264,-77.8487,30.34,50,0,3.02,JM,1675790005
574,erenhot,43.6475,111.9767,-9.8,75,2,2.54,CN,1675790006
575,lugovoy,42.9472,72.7644,-1.15,78,46,2.63,KZ,1675790006
576,chapais,49.7834,-74.8492,-6.48,73,100,7.3,CA,1675789857
577,caruray,10.3094,119.0128,24.7,87,55,2.7,PH,1675790008
578,marystown,47.1666,-55.1483,-3.5,71,100,10.02,CA,1675789814
579,makakilo city,21.3469,-158.0858,23.18,76,0,6.69,US,1675790008
580,gladstone,-23.85,151.25,22.96,73,6,3.09,AU,1675790009
581,san rafael del sur,11.8485,-86.4384,30.85,45,75,8.62,NI,1675790009
582,saint helens,53.45,-2.7333,8.64,78,20,2.06,GB,1675790010
583,nome,64.5011,-165.4064,-21.05,91,0,0.0,US,1675789788
584,rio gallegos,-51.6226,-69.2181,13.68,66,100,1.36,AR,1675790010
585,algarrobo,10.1869,-74.5753,35.75,32,4,0.5,CO,1675790011
586,muros,42.7762,-9.0603,12.83,52,0,8.94,ES,1675789458
587,babu,24.4167,111.5167,12.68,95,100,1.82,CN,1675790011
588,ninohe,40.2724,141.3061,-1.0,97,100,1.34,JP,1675790012
589,gerede,40.8008,32.1969,-9.04,96,100,3.87,TR,1675790013
590,aswan,24.0934,32.907,15.2,28,78,4.54,EG,1675790013
